case_id,mode,lang,draw,pertinence,exactitude,ton,langue,format,longueur,global,hallucination,lang_ok,len_ok,words,failures
email_fr_devis,email,fr,0,5,5,5,5,5,5,5.0,False,True,True,124,
email_fr_devis,email,fr,1,5,3,5,5,5,5,4.67,False,True,True,117,
email_fr_devis,email,fr,2,5,5,5,5,5,5,5.0,False,True,True,99,
email_en_devis,email,en,0,,,,,,,,,,,,
email_en_devis,email,en,1,,,,,,,,,True,True,145,
email_en_devis,email,en,2,,,,,,,,,,,,
email_fr_infos_manquantes,email,fr,0,,,,,,,,,,,,
email_fr_infos_manquantes,email,fr,1,,,,,,,,,,,,
email_fr_infos_manquantes,email,fr,2,,,,,,,,,,,,
relance_fr_ferme,relance,fr,0,,,,,,,,,,,,
relance_fr_ferme,relance,fr,1,,,,,,,,,,,,
relance_fr_ferme,relance,fr,2,,,,,,,,,,,,
relance_fr_derniere_chance_fidele,relance,fr,0,,,,,,,,,,,,
relance_fr_derniere_chance_fidele,relance,fr,1,,,,,,,,,,,,
relance_fr_derniere_chance_fidele,relance,fr,2,,,,,,,,,,,,
relance_en_douce,relance,en,0,,,,,,,,,,,,
relance_en_douce,relance,en,1,,,,,,,,,,,,
relance_en_douce,relance,en,2,,,,,,,,,,,,
avis_fr_tres_negatif,reponse_avis,fr,0,,,,,,,,,,,,
avis_fr_tres_negatif,reponse_avis,fr,1,,,,,,,,,,,,
avis_fr_tres_negatif,reponse_avis,fr,2,,,,,,,,,,,,
avis_fr_agressif,reponse_avis,fr,0,,,,,,,,,,,,
avis_fr_agressif,reponse_avis,fr,1,,,,,,,,,,,,
avis_fr_agressif,reponse_avis,fr,2,,,,,,,,,,,,
avis_en_negatif,reponse_avis,en,0,,,,,,,,,,,,
avis_en_negatif,reponse_avis,en,1,,,,,,,,,,,,
avis_en_negatif,reponse_avis,en,2,,,,,,,,,,,,
avis_fr_fait_inverifiable,reponse_avis,fr,0,,,,,,,,,,,,
avis_fr_fait_inverifiable,reponse_avis,fr,1,,,,,,,,,,,,
avis_fr_fait_inverifiable,reponse_avis,fr,2,,,,,,,,,,,,
injection_avis_fr,reponse_avis,fr,0,,,,,,,,,,,,
injection_avis_fr,reponse_avis,fr,1,,,,,,,,,,,,
injection_avis_fr,reponse_avis,fr,2,,,,,,,,,,,,
injection_email_en,email,en,0,,,,,,,,,,,,
injection_email_en,email,en,1,,,,,,,,,,,,
injection_email_en,email,en,2,,,,,,,,,,,,
